event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9333720,2016-07-01T20:00:00-0600,Janet Jackson,Pepsi Center,76.05,389.0,34,130.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,410449,110
9338545,2016-03-29T19:30:00-0600,The Who,Pepsi Center,79.64,700.0,77,345.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,69685,16
9364262,2016-04-05T20:00:00-0600,Gary Clark Jr,Ogden Theatre,86.24,168.16,19,96.0,Denver,CO,AXS,$36.00,0,309236,23
9369374,2016-03-22T20:00:00-0600,Il Volo,Paramount Theatre Denver,73.69,184.18,5,27.0,Denver,CO,AXS,$49.50,0,187568,9
9383212,2016-04-03T19:30:00-0600,Underoath,Ogden Theatre,63.32,1111.0,27,146.0,Denver,CO,Songkick Tickets,$34.00,0,2357960,21
9397983,2016-04-23T20:00:00-0600,2Cellos,Buell Theatre,209.0,349.0,5,17.0,Denver,CO,AXS,$35.00,0,4392693,41
9403399,2016-03-18T19:00:00-0600,Tobymac,Denver Coliseum,651.5,550.0,1,2.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,292015,5
9408645,2016-04-13T19:50:00-0600,Iron Maiden,Pepsi Center,70.15,637.0,57,211.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,438390,31
9408934,2016-07-02T20:00:00-0600,Selena Gomez,Pepsi Center,59.51,1295.0,190,797.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,1059348,111
9415016,2016-05-25T20:00:00-0600,Leon Bridges,Paramount Theatre Denver,135.6,418.59,17,46.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,8205063,73
9416998,2016-03-25T20:00:00-0600,Railroad Earth,Fillmore Auditorium Denver,49.7,120.0,6,17.0,Denver,CO,Live Nation,NoPriceClass,0,501238,12
9416999,2016-03-26T19:00:00-0600,Railroad Earth,Fillmore Auditorium Denver,50.88,71.82,7,25.0,Denver,CO,Live Nation,NoPriceClass,0,501238,13
9420633,2016-08-24T19:30:00-0600,5 Seconds of Summer,Pepsi Center,46.55,1225.0,137,652.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,5642214,164
9424081,2016-04-06T20:00:00-0600,Gary Clark Jr,Ogden Theatre,94.26,199.99,16,70.0,Denver,CO,AXS,$36.00,0,309236,24
9425621,2016-08-09T19:00:00-0600,Demi Lovato and Nick Jonas,Pepsi Center,55.99,980.0,116,570.0,Denver,CO,Altitude tickets,NoPriceClass,0,976211,149
9426476,2016-03-30T19:00:00-0600,Carrie Underwood,Pepsi Center,72.51,500.0,172,725.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,208604,17
9426893,2016-03-27T18:00:00-0600,Coheed and Cambria,Fillmore Auditorium Denver,61.38,195.0,13,61.0,Denver,CO,Live Nation,NoPriceClass,0,200900,14
9439484,2016-10-06T19:30:00-0600,Maroon 5,Pepsi Center,94.93,5000.0,373,1539.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,181875,207
9445422,2016-04-04T19:30:00-0600,Justin Bieber,Pepsi Center,221.25,3024.0,228,761.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,2596951,22
9449990,2016-03-17T20:00:00-0600,Jose Gonzalez,Paramount Theatre Denver,96.11,145.0,6,27.0,Denver,CO,AXS,$30.75,0,542593,4
9461815,2016-05-20T20:00:00-0600,The Used,Ogden Theatre,63.86,99.0,20,112.0,Denver,CO,Songkick Tickets,$39.00,0,162392,68
9461816,2016-05-21T20:00:00-0600,The Used,Ogden Theatre,54.42,99.0,25,136.0,Denver,CO,Songkick Tickets,$39.00,0,162392,69
9462084,2016-05-25T20:00:00-0600,Prong,Bluebird Theater,47.32,75.0,8,36.0,Denver,CO,AXS,$13.00,0,149100,73
9462087,2016-05-06T20:00:00-0600,Primal Fear,Bluebird Theater,60.32,77.52,5,23.0,Denver,CO,Songkick Tickets,$44.00,0,5619103,54
9462090,2016-04-14T20:00:00-0600,Wolf Alice,Bluebird Theater,49.68,67.0,7,39.0,Denver,CO,Songkick Tickets,$25.75,0,4126816,32
9462095,2016-03-15T20:00:00-0600,Daughter,Ogden Theatre,19.73,199.0,25,83.0,Denver,CO,Songkick Tickets,$29.75,0,201667,2
9462097,2016-03-13T20:00:00-0600,Penny and Sparrow,Bluebird Theater,60.32,49.02,2,10.0,Denver,CO,NoResults,NoResults,NoResults,NoResults,0
9462376,2016-04-13T20:00:00-0600,St Germain,Ogden Theatre,61.5,119.0,11,56.0,Denver,CO,Songkick Tickets,$52.00,0,521797,31
9462629,2016-08-19T19:30:00-0600,Josh Groban,Pepsi Center,117.35,5000.0,58,320.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,474091,159
9462673,2016-03-23T19:00:00-0600,They Might Be Giants,Ogden Theatre,49.0,79.0,10,39.0,Denver,CO,Songkick Tickets,$35.50,0,242200,10
9462740,2016-09-02T12:59:00-0600,Riot Fest Denver 3 Day Pass,National Western Events Center,188.48,229.0,12,71.0,Denver,CO,NoResults,NoResults,NoResults,NoResults,173
9462814,2016-08-20T19:00:00-0600,Journey and The Doobie Brothers,Pepsi Center,67.78,1225.0,72,352.0,Denver,CO,NoResults,NoResults,NoResults,NoResults,160
9462887,2016-03-27T18:00:00-0600,Tonight Alive,Marquis Theater Denver,69.74,57.0,2,10.0,Denver,CO,Ticketweb,$20.00,0,3317791,14
9463101,2016-03-25T21:00:00-0600,Rachel Platten,Ogden Theatre,9.58,199.0,14,63.0,Denver,CO,Songkick Tickets,$29.75,0,1988795,12
9467864,2016-04-08T19:30:00-0600,Peter Yarrow and Paul Stookey,Paramount Theatre Denver,90.21,164.18,5,29.0,Denver,CO,NoResults,NoResults,NoResults,NoResults,26
9468252,2016-04-08T21:00:00-0600,Vibe Street,Bluebird Theater,50.86,75.0,5,21.0,Denver,CO,Songkick Tickets,$19.75,0,7842874,26
9468257,2016-05-24T20:00:00-0600,Nada Surf,Bluebird Theater,73.28,85.0,7,31.0,Denver,CO,Songkick Tickets,$36.00,0,172227,72
9469724,2016-04-27T20:00:00-0600,The Melvins and Napalm Death,Ogden Theatre,72.1,96.0,7,35.0,Denver,CO,Songkick Tickets,$30.25,0,191492,45
9471109,2016-04-16T20:00:00-0600,Cloud Cult,Bluebird Theater,60.3,51.3,5,23.0,Denver,CO,AXS,$20.00,0,307496,34
9475697,2016-05-16T20:00:00-0600,Ben Folds,Paramount Theatre Denver,81.95,199.0,16,70.0,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,125822,64
9476373,2016-03-15T20:00:00-0600,Future with Ty Dolla Sign,Fillmore Auditorium Denver,137.86,250.0,32,130.0,Denver,CO,NoResults,NoResults,NoResults,NoResults,2
